HUC_12,Crop_P_removal_kg_ha
010700020109,0.21477902584
010700020110,0.249465185331
010700020201,0.294218299273
010700020202,0.47141282056
010700030101,0.336976016318
010700030102,0.209385634209
010700030103,0.129025708997
010700030104,0.211702628412
010700030105,0.238065254637
010700030106,0.225301296358
010700030107,0.184262880471
010700030108,0.232810323663
010700030201,0.0533034066079
010700030202,0.169247968669
010700030203,0.16907896987
010700030204,0.0945333364182
010700030301,0.25652334176
010700030302,0.256381174228
010700030303,0.544532941247
010700030401,0.231223398951
010700030402,0.24342746481
010700030403,0.23774556521
010700030404,0.170208110472
010700030501,0.161779427515
010700030502,0.231443145065
010700030503,0.162562178922
010700030504,0.356168452475
010700030601,0.489945860946
010700030602,0.35328863132
010700030603,0.264437836366
010700040101,0.317269838497
010700040102,0.405620450635
010700040103,0.504978458399
010700040201,0.477327432932
010700040202,0.517308863721
010700040203,0.425201905926
010700040204,1.1335368463
010700040205,0.534351382808
010700040301,0.391195072856
010700040302,0.269133169614
010700040401,0.338996014859
010700040402,0.816981598327
010700050101,0.195097426314
010700050102,0.283927421173
010700050103,0.19012235689
010700050104,0.342206219174
010700050201,0.172962824789
010700050202,0.477439921733
010700050203,0.334170843401
010700050204,0.491273511115
010700050205,0.239954228938
010700050206,0.244872820269
010700060101,0.405009194193
010700060102,0.778392754287
010700060201,0.423329261628
010700060202,0.307002118112
010700060301,0.402916477644
010700060302,0.362284425685
010700060401,0.254714229124
010700060402,0.229990546009
010700060501,0.709427131827
010700060502,0.367882998885
010700060503,0.342808440527
010700060601,0.279201124265
010700060602,0.365663177259
010700060603,0.332670025259
010700060604,0.207568941427
010700060605,0.327843236921
010700060606,0.230073595013
010700060607,0.260390708966
010700060701,0.141178049749
010700060702,0.111997735706
010700060703,0.170285745399
010700060801,0.255184627104
010700060802,0.1388105862
010700060803,0.0691044437527
010700060804,0.177881236475
010700060901,0.380955542278
010700060902,0.378190258861
010700060903,0.231741988992
010700060904,0.499089785525
010700060905,0.246653717052
010700060906,0.33618700422
010700061001,0.244511237515
010700061002,0.435434328782
010700061101,0.199060496655
010700061102,0.121311335669
010700061201,0.443629688377
010700061202,0.296490722858
